strain,stress
0,0.302161505
0.007760064,0.306526046
0.012420735,0.30917891
0.01705959,0.311843122
0.021676832,0.314518681
0.026272658,0.317205588
0.030847266,0.319903843
0.035400847,0.322613446
0.039933594,0.325334396
0.045189478,0.328519381
0.046111792,0.336489199
0.04737861,0.344243309
0.048989796,0.351557463
0.050679713,0.356471962
0.052498385,0.362383872
0.054151083,0.366733089
0.056205698,0.371949919
0.058154019,0.377145423
0.06016803,0.38203221
0.062246151,0.386845265
0.064351595,0.392042209
0.066524216,0.396455439
0.068731299,0.399830296
0.070796644,0.403637278
0.07278681,0.408144342
0.074872441,0.412827383
0.077089369,0.417102621
0.079303878,0.420914898
0.081546411,0.424752726
0.083750682,0.428589382
0.08601669,0.432347925
0.088278638,0.435876556
0.090536161,0.439295286
0.092788457,0.442725045
0.095034888,0.446287942
0.097277926,0.449372491
0.099584928,0.452008699
0.101852698,0.454758713
0.104081661,0.457748225
0.106369872,0.460776275
0.108654073,0.463565812
0.110934461,0.46624103
0.113209394,0.468797442
0.115480404,0.471112792
0.117745505,0.473558749
0.120006228,0.476011346
0.122262282,0.478218784
0.124545575,0.480448384
0.126791259,0.482666071
0.129032513,0.484762504
0.131300858,0.486880641
0.133532573,0.488859251
0.135790461,0.490858655
0.138012863,0.492847102
0.14026122,0.494726745
0.142505292,0.496608776
0.144743454,0.498495323
0.146977365,0.500385731
0.149206119,0.502150238
0.151432056,0.503661048
0.153652204,0.505171691
0.155866792,0.506944088
0.158076327,0.508588853
0.160282437,0.510107439
0.162482854,0.511625843
0.164679193,0.513146381
0.166869868,0.51466974
0.169057223,0.516062188
0.171238964,0.517456886
0.173416707,0.518853149
0.175588897,0.520248632
0.17775712,0.521647199
0.179920546,0.522913525
0.182080052,0.524180839
0.184234099,0.525446783
0.186383532,0.526849095
0.188528987,0.527983876
0.1906706,0.52911907
0.192806834,0.530253851
0.194939262,0.531389045
0.197067085,0.532388537
0.199191865,0.533253845
0.201311366,0.534116032
0.203427138,0.534977479
0.205537655,0.535838928
0.207644486,0.53669807
0.209748325,0.537146165
0.211821811,0.537165868
