PRJ.,COVER MAT,HOUSING MAT,TEARLINE,CUSHION TETHER,CUSHION RADIUS,INTERFACE,FAILURE,FLAPPY MASS,HINGE WIDTH,FLAPPY SHAPE,INTLATOR,WRAPPER,CUSHION FOLDTYPE
Changan MK03,TT990,PG8,H,2,690,ASW5,0,2.37E-02,83.459,R,ADP 1.3B 210kPa,Y,DRR
NIO FORCE V1,TA4003,STEEL,I,2,710,ASW8,0,1.88E-02,57.8,R,ADP 1.3B 210kPa,N,DRR
NIO FORCE V2,TA4003,STEEL,P,2,710,ASW8,0,1.63E-02,46,C,ADP 1.3B 210kPa,N,DRR
Ford CDX707,TT990,STEEL,I,3,650,ASW8,1,1.73E-02,40.56,R,ADP 1.3B 210kPa,N,DRR
GLY EX11 V4,TT1081,STEEL,H,2,700,ASW3,1,2.33E-02,60,C,ADP 1.3B 210kPa,N,LC3
GLY EX11 V1,TT1081,STEEL,H,2,700,ASW3,1,2.63E-02,64.624,C,ADP 1.3B 210kPa,Y,LC3
P3011 V1,TT1081,STEEL,H,3,700,ASW8,1,2.91E-02,79.3,C,ADP 1.3B 200kPa,N,LC3
P3011 V2,TT1081,STEEL,H,2,680,ASW8,1,2.91E-02,79.3,C,ADP 1.3B 200kPa,N,RC1
PSA E43C SINGLE,TT990,PG8,H,2,680,ASW5,0,2.38E-02,72,R,ADP 1.3B 210kPa,Y,DRR
PSA E43C DUAL,TT990,PG8,H,2,680,ASW5,0,2.38E-02,72,R,ADP 1.3B 210kPa,Y,DRR
GLY EX11 V1 TRIAL,TT1081,STEEL,H,2,680,ASW3,0,2.41E-02,63.9,R,ADP 1.3B 210kPa,Y,LC3
Lotus Gamma2 V2,TT1081,STEEL,P,2,680,ASW3,1,1.99E-02,50.291,C,ADP 1.3B 210kPa,N,LC3
Lotus Gamma2 K7CUSHION,TT1081,STEEL,P,2,680,ASW3,1,1.77E-02,44.372,C,ADP 1.3B 210kPa,N,LC3
AERO B,TT1081,STEEL,P,3,700,ASW3,0,2.06E-02,52.247,R,ADP 1.3B 210kPa,N,LC3
AUDI A3,TT1081,STEEL,H,3,700,ASW3,0,2.24E-02,49.11,R,ADP 1.3B 210kPa,N,LC3
Ford CD542 V2,TT990,PG8,H,2,660,ASW5,1,3.54E-02,89,R,ADP 1.3B 210kPa,Y,DRR
Ford CD542 V42,TT990,PG8,H,2,660,ASW5,0,2.61E-02,59.963,R,ADP 1.3B 210kPa,Y,DRR
Ford CD542 V5,TT990,PG8,P,2,660,ASW5,0,1.67E-02,47.894,R,ADP 1.3B 210kPa,Y,DRR
GWM V61,TT1081,STEEL,P,3,690,ASW8,0,1.85E-02,63.169,R,ADP 1.3B 210kPa,N,LC3
CHB071 ILLUMINATED EMBLEM,TT1081,STEEL,I,3,690,ASW3,1,2.90E-02,65.233,R,ADP 1.3B 210kPa,N,LC3
CHERY T1D,TA4003,STEEL,H,3,680,ASW5,0,2.10E-02,78,R,ADP 1.3B 210kPa,Y,DRR
SAILIN AM132 AL,TA4003,STEEL,H,3,680,ASW3,0,1.99E-02,69.468,R,ADP 1.3B 210kPa,Y,DRR
SAILIN AM132 T45,TA4003,STEEL,H,3,680,ASW3,0,2.42E-02,69.468,R,ADP 1.3B 210kPa,Y,DRR
BAOJUN CN202,TA4003,PG8,H,3,680,ASW5,0,2.87E-02,87.963,R,ADP 1.3B 210kPa,Y,DRR
VW B8L,TT1081,STEEL,H,3,700,ASW3,1,2.81E-02,55.15,C,ADP 1.3B 210kPa,Y,LC3
GWM B01 H,TT1081,STEEL,H,3,700,ASW8,0,2.06E-02,73.598,R,ADP 1.3B 210kPa,Y,RC1
Daimler V5,TT1081,STEEL,H,3,700,ASW5,0,2.22E-02,58.588,C,ADP 1.3B 210kPa,N,RC1
GLY DC1E V71,TT1081,STEEL,H,2,700,ASW3,1,2.69E-02,35.552,R,ADP 1.3B 210kPa,Y,LC3
GLY DC1E V8,TT1081,STEEL,H,2,700,ASW3,1,2.52E-02,63.435,R,ADP 1.3B 210kPa,Y,LC3
GWM A01,TT1081,STEEL,H,2,690,ASW8,0,2.04E-02,73.598,R,ADP 1.3B 210kPa,N,LC3
